"EFF_DATE","ARRIVAL_NAME","AMENDMENT_NO","ARTCC","STAR_AMEND_EFF_DATE","RNAV_FLAG","STAR_COMPUTER_CODE","SERVED_ARPT"
"2026/05/14","DAWGZ","TWO","ZFW","2015/06/25","Y","CAINE.DAWGZ2","DFW"
"2026/05/14","CAMET","THREE","ZFW","2017/12/07","Y","CAMET.CAMET3","OKC"
"2026/05/14","DAWKS","ONE","ZFW","2014/07/24","Y","CAMET.DAWKS1","OUN PWA TIK"
"2026/05/14","CAMPS","FOUR","ZHN","2023/10/05","N","CAMPS.CAMPS4","OGG"
"2026/05/14","STELA","ONE","ZBW","2025/11/27","Y","CANAN.STELA1","BAF BDL CEF HFD ORH"
"2026/05/14","RAVNN","NINE","ZDC","2026/05/14","Y","CAPKO.RAVNN9","BWI MTN"
"2026/05/14","CARTR","ONE","ZLC","2025/02/20","Y","CARTR.CARTR1","SLC"
"2026/05/14","NOBBI","ONE","ZNY","2025/11/27","Y","CASSH.NOBBI1","DXR HPN LGA"
"2026/05/14","LIBER","FIVE","ZAN","2023/10/05","Y","CAWIN.LIBER5","FAI"
"2026/05/14","CDOGG","FOUR","ZBW","2021/06/17","Y","CDOGG.CDOGG4","PWM"
"2026/05/14","CEGRM","EIGHT","ZID","2026/01/22","Y","CEGRM.CEGRM8","CVG HAO I69 LUK"
"2026/05/14","CESAN","FOUR","ZHU","2017/06/22","Y","CESAN.CESAN4","54T ARM AXH BYY CXO EFD GLS HOU HPY IWS LBX LVJ SGR T00 T41"
"2026/05/14","CHAKA","FOUR","ZSU","2011/01/13","Y","CHAKA.CHAKA4","SJU"
"2026/05/14","CHINS","FIVE","ZSE","2022/09/08","N","CHINS.CHINS5","BFI PAE RNT SEA"
"2026/05/14","CHOWW","FOUR","ZLA","2025/08/07","Y","CHOWW.CHOWW4","LAS"
"2026/05/14","CHPPR","ONE","ZTL","2017/10/12","Y","CHPPR.CHPPR1","ATL"
"2026/05/14","CHSLY","SEVEN","ZTL","2026/05/14","Y","CHSLY.CHSLY7","CLT"
"2026/05/14","CHSNE","THREE","ZME","2025/10/02","Y","CHSNE.CHSNE3","BNA"
"2026/05/14","CLASH","FIVE","ZDV","2025/06/12","Y","CLASH.CLASH5","DEN"
"2026/05/14","MNSTR","TWO","ZHU","2026/05/14","Y","CLERY.MNSTR2","MSY NBG NEW"
"2026/05/14","CLIPR","THREE","ZDC","2023/08/10","Y","CLIPR.CLIPR3","DCA"
"2026/05/14","CLMNT","TWO","ZMA","2022/05/19","Y","CLMNT.CLMNT2","06FA BCT F45 PBI"
"2026/05/14","CLOWD","ONE","ZLA","2005/05/12","N","CLOWD.CLOWD1","PSP TRM UDD"
"2026/05/14","CLPRR","THREE","ZID","2024/12/26","Y","CLPRR.CLPRR3","CMH LCK OSU TZR"
"2026/05/14","COATT","FIVE","ZDC","2017/12/07","N","COATT.COATT5","IAD"
"2026/05/14","LEDDL","ONE","ZID","2024/07/11","Y","COBBZ.LEDDL1","JVY LOU SDF"
"2026/05/14","COKTL","FOUR","ZLA","2024/10/31","Y","COKTL.COKTL4","LAS"
"2026/05/14","COLTR","FOUR","ZAB","2021/12/02","Y","COLTR.COLTR4","ABQ"
"2026/05/14","COMIX","TWO","ZLA","2018/05/24","Y","COMIX.COMIX2","SAN"
"2026/05/14","CONDR","FOUR","ZME","2024/10/31","Y","CONDR.CONDR4","MEM"
"2026/05/14","COYOT","FIVE","ZAB","2020/07/16","N","COYOT.COYOT5","PHX"
"2026/05/14","CPTAN","THREE","ZMA","2024/01/25","Y","CPTAN.CPTAN3","06FA BCT FXE PBI PMP"
"2026/05/14","CEDAR CREEK","THREE","ZFW","2024/07/11","N","CQY.CQY3","DFW"
"2026/05/14","CRAKN","TWO","ZOB","2019/10/10","Y","CRAKN.CRAKN2","DTW"
"2026/05/14","HTROD","TWO","ZOB","2019/10/10","Y","CRAKN.HTROD2","DTW"
"2026/05/14","CRAZI","FOUR","ZLC","2023/04/20","Y","CRAZI.CRAZI4","BIL"
"2026/05/14","POWDA","TWO","ZLC","2026/01/22","Y","CREKK.POWDA2","BZN"
"2026/05/14","CRESO","FIVE","ZLA","2022/01/27","N","CRESO.CRESO5","LAS"
"2026/05/14","CRVZA","TWO","ZHU","2025/11/27","Y","CRVZA.CRVZA2","5C1 BAZ CVB PEZ RND SAT SKF SSF"
"2026/05/14","CENTERPOINT","THREE","ZHU","2025/08/07","N","CSI.CSI3","RND SAT SKF SSF"
"2026/05/14","CSTAL","THREE","ZMA","2025/06/12","Y","CSTAL.CSTAL3","07FA HST MIA TMB X51"
"2026/05/14","CURLY","THREE","ZAB","2017/03/02","N","CURLY.CURLY3","ABQ AEG"
"2026/05/14","JESEY","FIVE","ZOB","2024/12/26","Y","CUTTA.JESEY5","PIT"
"2026/05/14","CUUDA","THREE","ZMA","2024/01/25","Y","CUUDA.CUUDA3","FLL OPF"
"2026/05/14","CUURT","ONE","ZMA","2023/06/15","Y","CUURT.CUURT1","OPF"
"2026/05/14","DADES","TWO","ZMA","2025/04/17","Y","DADES.DADES2","CLW MCF PIE SPG TPA TPF VDF"
"2026/05/14","DANDD","ONE","ZDV","2020/01/30","N","DANDD.DANDD1","APA BJC BKF CFO DEN FNL GXY"
"2026/05/14","DAWGG","TWO","ZME","2014/05/29","N","DAWGG.DAWGG2","MEM"
"2026/05/14","DEEPO","TWO","ZBW","2025/04/17","Y","DEEPO.DEEPO2","ACK"
"2026/05/14","DEKAL","NINE","ZMA","2024/12/26","N","DEKAL.DEKAL9","FLL FXE HWO OPF PMP"
"2026/05/14","DELMA","FOUR","ZKC","2018/11/08","Y","DELMA.DELMA4","ALN BLV CPS SUS"
"2026/05/14","DELRO","FIVE","ZDC","2019/02/28","N","DELRO.DELRO5","IAD"
"2026/05/14","DINGO","SIX","ZAB","2023/11/30","N","DINGO.DINGO6","TUS"
"2026/05/14","DIRBY","TWO","ZLA","2024/12/26","Y","DIRBY.DIRBY2","LAX"
"2026/05/14","DIRTT","TWO","ZKC","2017/03/02","Y","DIRTT.DIRTT2","SUS"
"2026/05/14","DIXEE","THREE","ZKC","2017/03/02","Y","DIXEE.DIXEE3","BLV CPS"
"2026/05/14","CABBY","TWO","ZFW","2015/06/25","Y","DODJE.CABBY2","DFW"
"2026/05/14","DODJE","SIX","ZFW","2020/05/21","N","DODJE.DODJE6","AFW DTO FTW FWS GKY GPM JWY LNC LUD NFW RBD"
