"EFF_DATE","PJA_ID","FAC_ID","FAC_NAME","LOC_ID","COMMERCIAL_FREQ","COMMERCIAL_CHART_FLAG","MIL_FREQ","MIL_CHART_FLAG","SECTOR","CONTACT_FREQ_ALTITUDE"
"2026/05/14","POH027","CLE","CLEVELAND-HOPKINS INTL","CLE",128.35,"Y",,"","",""
"2026/05/14","POK017","TUL","TULSA INTL","TUL",124,"Y",,"","",""
"2026/05/14","POR002","EUG","MAHLON SWEET FLD","EUG",119.6,"Y",,"","",""
"2026/05/14","POR004","PDX","PORTLAND INTL","PDX",118.1,"Y",,"","",""
"2026/05/14","POR007","PDX","PORTLAND INTL","PDX",118.1,"Y",,"","",""
"2026/05/14","POR009","ZSE","SEATTLE","ZSE",126.15,"N",,"","",""
"2026/05/14","POR010","ZSE","SEATTLE","ZSE",126.15,"N",,"","",""
"2026/05/14","POR011","ZSE","SEATTLE","ZSE",126.15,"N",,"","",""
"2026/05/14","POR012","ZSE","SEATTLE","ZSE",126.15,"N",,"","",""
"2026/05/14","PPA025","AVP","WILKES-BARRE/SCRANTON INTL","AVP",120.95,"Y",,"","",""
"2026/05/14","PPA026","ABE","LEHIGH VALLEY INTL","ABE",124.45,"N",,"","",""
"2026/05/14","PRI001","PVD","RHODE ISLAND TF GREEN INTL","PVD",125.75,"Y",,"","",""
"2026/05/14","PRI003","PVD","RHODE ISLAND TF GREEN INTL","PVD",123.67,"N",,"","",""
"2026/05/14","PRI004","PVD","RHODE ISLAND TF GREEN INTL","PVD",119.45,"N",,"","",""
"2026/05/14","PTN021","TRI","TRI-CITIES","TRI",125.5,"Y",317.5,"Y","",""
"2026/05/14","PTN022","","MEMPHIS CENTER WATCH DESK","ZME",122.8,"N",,"","",""
"2026/05/14","PTX006","","CADDO MILLS AIRPORT","7F3",122.8,"Y",,"","",""
"2026/05/14","PTX006","ZFW","FORT WORTH","ZFW",132.02,"Y",,"","",""
"2026/05/14","PTX011","D10","DALLAS/FORT WORTH TRACON","D10",125.2,"N",343.65,"N","",""
"2026/05/14","PTX014","I90","HOUSTON TRACON","I90",134.45,"Y",,"","",""
"2026/05/14","PTX020","ZFW","FORT WORTH","ZFW",124.875,"Y",307.2,"Y","",""
"2026/05/14","PTX031","ZFW","FORT WORTH","ZFW",127.15,"N",,"","",""
"2026/05/14","PTX036","CRP","CORPUS CHRISTI INTL","CRP",125.4,"Y",,"","",""
"2026/05/14","PTX037","ZFW","FORT WORTH","ZFW",132.02,"Y",,"","",""
"2026/05/14","PTX038","ACT","WACO RGNL","ACT",127.65,"Y",,"","",""
"2026/05/14","PTX040","","40TH AIRLIFT SQUADRON","SJT",139.75,"Y",314.2,"Y","",""
"2026/05/14","PTX041","","CAMP BOWIE TRAINING FACILITY","BWD",139.75,"Y",314.2,"Y","",""
"2026/05/14","PTX042","ZFW","FORT WORTH","ZFW",132.6,"Y",269.05,"Y","",""
"2026/05/14","PTX044","AUS","AUSTIN-BERGSTROM INTL","AUS",123.55,"Y",,"","",""
"2026/05/14","PTX046","ZHU","HOUSTON","BRO",120.57,"Y",,"","",""
"2026/05/14","PTX047","ZHU","HOUSTON","BRO",120.57,"Y",,"","",""
"2026/05/14","PTX048","ZHU","HOUSTON","BRO",134.45,"Y",,"","",""
"2026/05/14","PTX049","ZHU","HOUSTON","BRO",120.57,"Y",,"","",""
"2026/05/14","PTX050","ZHU","HOUSTON","BRO",134.8,"Y",,"","",""
"2026/05/14","PTX056","","GRAY APPROACH","GRK",120.075,"Y",323.15,"Y","",""
"2026/05/14","PVA019","PCT","POTOMAC TRACON","PCT",126.8,"Y",307.2,"N","",""
"2026/05/14","PWA017","MWH","GRANT COUNTY INTL","MWH",126.4,"Y",,"","",""
"2026/05/14","PWA029","MWH","GRANT COUNTY INTL","MWH",126.4,"Y",385.5,"Y","",""
"2026/05/14","PWA029","ZSE","SEATTLE","ZSE",126.1,"Y",291.6,"Y","(18)",""
"2026/05/14","PWA030","ZSE","SEATTLE","ZSE",126.1,"Y",291.6,"N","(18)",""
"2026/05/14","PWA031","ZSE","SEATTLE","ZSE",126.1,"N",291.6,"N","(18)",""
"2026/05/14","PWA032","ZSE","SEATTLE","ZSE",126.1,"N",291.6,"N","(18)",""
"2026/05/14","PWA033","ZSE","SEATTLE","ZSE",126.1,"N",291.6,"N","(18)",""
"2026/05/14","PWI014","MKE","GENERAL MITCHELL INTL","MKE",119.65,"N",,"","",""
"2026/05/14","PWV017","HTS","TRI-STATE/MILTON J FERGUSON FLD","HTS",119.75,"N",,"","",""
